Kode I-O,Nama Sektor,Kode sektor KSM,Klasifikasi Sektor Makro (KSM),KSM (17 Sektor),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,180,301,302,303,304,305,309,310,409,509,600,700
20,"Industri pengolahan daging, ikan, buah, dan sayuran",C.2,Industri Makanan dan Minuman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49954.36889,35590.17946,0,0,173024.2039,10544.62072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75269.1924,1050979.916,0,0,0,0,0,0,885.671325,18325.18165,182340.3956,34790.70449,0,1631704.434,15256669.22,0,0,125125.241,7593770.23,22975564.7,24607269.13,0,0,24607269.13,24607269.13
21,"Industri minyak, lemak, dan produk susu",C.2,Industri Makanan dan Minuman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,40124.76081,0,0,0,0,0,0,0,0,38497.75128,303267.4045,0,0,335911.1674,12712.2897,12965.47702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67190.55415,622461.5548,0,0,0,0,0,0,1192.405947,49456.5701,66627.17956,19230.53731,0,1569637.653,4716618.054,0,0,20222.49738,644069.0573,5380909.609,6950547.262,0,0,6950547.262,6950547.262
22,"Industri penggilingan padi-padian, tepung, dan pati",C.2,Industri Makanan dan Minuman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,601006.6049,0,0,0,0,0,0,0,0,221788.1124,90651.60648,828725.0871,0,1416540.432,874607.4749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201743.1858,1568758.722,0,0,0,0,0,0,17562.74255,139186.4226,59200.01716,137498.157,0,6157268.565,14738033.57,0,0,94734.64235,2589300.178,17422068.39,23579336.96,0,0,23579336.96,23579336.96
23,Industri gula,C.2,Industri Makanan dan Minuman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,27809.83683,0,0,0,0,0,0,0,0,44448.81208,28629.71553,0,262484.8837,381840.907,3316.499813,181353.4605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39771.53495,280204.9798,0,0,0,0,0,0,3105.497283,23952.55128,5859.95463,8209.678348,0,1290988.312,2402779.514,0,0,68908.8714,4801632.028,7273320.414,8564308.726,0,0,8564308.726,8564308.726
24,"Industri roti, mi, cokelat, kopi/teh olahan, bumbu, dan makanan lainnya",C.2,Industri Makanan dan Minuman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426258.8053,9630.167813,80461.79605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104638.8562,905561.9108,0,0,0,0,0,0,24590.62469,94361.79013,32271.42914,24826.97438,0,1702602.354,24421555.76,0,0,211585.6219,5172319.639,29805461.02,31508063.37,0,0,31508063.37,31508063.37
25,Industri makanan hewan atau pakan,C.2,Industri Makanan dan Minuman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,1690059.594,0,0,0,162507.3735,0,0,0,0,0,0,0,0,0,3670.64024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351.82007,96528.7432,0,0,0,0,0,0,5532.321407,9925.985945,4677.561805,18561.80895,0,2010815.849,0,0,0,114730.4461,2163606.928,2278337.374,4289153.223,0,0,4289153.223,4289153.223
26,Industri minuman,C.2,Industri Makanan dan Minuman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14188.08408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50007.13367,251790.4958,0,0,0,0,0,0,3788.850547,36988.66972,13940.29789,38854.574,0,409558.1057,4608514.694,0,0,28111.51775,524696.9112,5161323.123,5570881.229,0,0,5570881.229,5570881.229
27,Industri pengolahan tembakau,C.3,Industri Pengolahan Tembakau,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123639.0966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123639.0966,999268.4106,0,0,3773.926541,52244.43663,1055286.774,1178925.87,0,0,1178925.87,1178925.87
28,Industri tekstil,C.4,Industri Tekstil dan Pakaian Jadi,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,12742.73994,7825.684484,0,0,0,0,0,0,0,0,0,0,0,0,966593.2476,1326269.387,95763.08674,0,0,0,0,0,0,0,0,0,6923.640025,161235.4975,79497.47018,0,0,0,0,0,0,17810.8793,46.785401,0,0,0,0,0,0,0,0,0,0,1009.380988,0,0,0,17906.58152,0,2693624.38,402142.3162,0,0,-3073.568439,1012989.716,1412058.464,4105682.844,0,0,4105682.844,4105682.844
29,Industri pakaian jadi,C.4,Industri Tekstil dan Pakaian Jadi,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253549.2148,0,0,0,0,0,0,0,0,0,0,0,0,47020.04564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145.669277,0,0,0,16916.31591,0,318631.2456,5243710.425,0,0,38230.40732,1131710.941,6413651.773,6732283.019,0,0,6732283.019,6732283.019
30,"Industri kulit, barang dari kulit, dan alas kaki",C.5,"Industri Kulit, Barang dari Kulit dan Alas Kaki",Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60005.41157,358970.4991,0,0,0,0,0,0,0,0,0,9342.842276,0,34927.27206,0,0,0,0,0,0,13764.2132,236.123573,0,0,0,0,0,0,0,0,0,0,2372.911359,0,0,0,5925.266359,0,485544.5395,1286490.359,0,0,23291.41602,833862.1219,2143643.897,2629188.436,0,0,2629188.436,2629188.436
31,"Industri kayu, barang dari kayu, bambu, rotan, dan sejenisnya",C.6,"Industri Kayu, Barang dari Kayu dan Gabus dan Anyaman Bambu/Rotan",Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,6320.347369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037233.205,9701.411202,0,0,0,0,0,0,0,0,846331.4282,234982.2864,0,0,0,6246154.019,0,0,0,0,17.926172,421.753788,0,895.881012,3060.647608,0,0,0,0,1548.210385,435.111083,3235.55079,3546.387201,384.99355,4614.264331,0,9398883.423,1321152.732,0,0,45506.27626,2044303.29,3410962.298,12809845.72,0,0,12809845.72,12809845.72
32,"Industri kertas, barang dari kertas, pencetakan, dan reproduksi media",C.7,Industri Kertas dan Barang dari Kertas; Percetakan,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,1675.594618,2039.355403,446.265253,1165.777167,1527.843135,0.723421,34.61632,5014.098903,27.541595,245388.8238,29224.72617,47114.53474,47153.21568,79882.11169,5776.760821,66078.89854,40806.04871,10463.95781,11519.51674,9668.441239,37924.13665,219971.8345,55608.15742,0,0,0,0,0,0,0,21861.01625,33932.92925,1571.22265,0.412635,268.892426,15783.12137,10772.69126,73931.19897,16938.1754,119.008093,392.147188,2563.955568,870.270388,471.957838,1912.134378,12599.18939,11767.14421,843.998922,852.668779,1924.712882,1427.238824,4885.654501,322646.5172,27680.95876,3432.592883,0,1487962.79,26609.47348,0,0,41294.73283,829952.3775,897856.5838,2385819.374,0,0,2385819.374,2385819.374
33,"Industri kimia, farmasi, dan obat tradisional",C.8,"Industri Kimia, Farmasi dan Obat Tradisional",Industri Pengolahan,760624.5986,86077.77472,99310.27981,208307.926,851.165993,6840.079793,119282.5792,23362.32633,37431.3457,133795.2771,45366.18792,46556.49434,15990.92652,77402.2265,70957.0515,9.418346,289.317368,41448.51864,325548.275,104358.4731,57245.6056,98437.86526,411018.8653,142179.3403,92884.7354,66799.37258,29167.82643,112149.1927,127248.5788,55377.39897,395199.4433,87054.13371,878431.9743,265881.4364,1532050.585,71656.25515,116943.9758,51834.37735,36203.00623,0,0,85765.03073,1269.565656,0.310091,1142.37734,42555.22292,6584.816065,18197.5592,29320.16837,111.685283,205.294739,2228.14368,510.132131,657.128896,1406.258578,6378.275784,1932.682591,272.046697,235.060325,1435.75173,962.535893,3078.437486,24712.14983,125149.469,9211.606194,0,7194895.92,689662.9061,0,0,2929.624371,1531210.569,2223803.099,9418699.02,0,0,9418699.02,9418699.02
